"","Var1","Freq"
"1849","Ahctf1",2
"1850","Ahcyl1",3
"1851","Ahcyl2",3
"1852","Ahdc1",2
"1853","Ahi1",2
"1854","Ahnak",3
"1856","Ahr",2
"1865","AI467606",2
"1870","AI593442",2
"1874","AI662270",2
"1879","AI854703",3
"1882","Aida",2
"1884","Aif1l",3
"1886","Aifm2",3
"1887","Aifm3",2
"1891","Aimp2",2
"1893","Aipl1",2
"1895","Airn",3
"1896","Ajap1",2
"1897","Ajm1",3
"1899","Ak1",2
"1900","Ak2",2
"1901","Ak3",3
"1902","Ak4",2
"1903","Ak5",2
"1907","Akain1",2
"1908","Akap1",2
"1909","Akap10",3
"1912","Akap13",8
"1914","Akap17b",2
"1915","Akap3",2
"1916","Akap4",3
"1917","Akap5",2
"1918","Akap6",3
"1920","Akap8",2
"1922","Akap9",4
"1925","Akna",2
"1929","Akr1a1",4
"1930","Akr1b10",3
"1938","Akr1c20",2
"1941","Akr1cl",2
"1942","Akr1d1",2
"1943","Akr1e1",2
"1944","Akr7a5",3
"1945","Akt1",2
"1946","Akt1s1",2
"1947","Akt2",2
"1948","Akt3",3
"1949","Aktip",2
"1951","Alas1",3
"1954","Alcam",4
"1955","Aldh16a1",2
"1956","Aldh18a1",4
"1959","Aldh1a3",3
"1962","Aldh1l1",2
"1964","Aldh2",3
"1969","Aldh3b3",2
"1973","Aldh7a1",3
"1974","Aldh8a1",2
"1975","Aldh9a1",2
"1976","Aldoa",2
"1980","Aldoc",2
"1982","Alg10b",2
"1983","Alg11",2
"1984","Alg12",3
"1986","Alg14",2
"1989","Alg5",2
"1990","Alg6",2
"1994","Alkbh1",3
"1998","Alkbh4",3
"1999","Alkbh5",2
"2001","Alkbh8",2
"2003","Alox12",2
"2016","Alppl2",2
"2018","Als2cl",2
"2019","Als2cr12",2
"2020","Alx1",2
"2023","Alyref",2
"2027","Ambra1",2
"2028","Amdhd1",2
"2030","Amelx",2
"2031","Amer1",2
"2032","Amer2",2
"2036","Amhr2",3
"2037","Amigo1",3
"2039","Ammecr1",2
"2040","Ammecr1l",3
"2042","Amn1",4
"2043","Amot",3
"2044","Amotl1",3
"2046","Ampd2",2
"2053","Amz2",2
"2054","Anapc1",5
"2055","Anapc10",2
"2056","Anapc11",2
"2057","Anapc13",2
"2058","Anapc15",2
"2059","Anapc16",3
"2061","Anapc4",2
"2062","Anapc5",5
"2063","Anapc7",2
"2064","Ang",3
"2066","Ang4",2
"2068","Angel2",6
"2069","Angpt1",3
"2070","Angpt2",2
"2071","Angpt4",2
"2072","Angptl1",2
"2073","Angptl2",5
"2075","Angptl4",2
"2080","Ank1",4
"2081","Ank2",6
"2082","Ank3",7
"2083","Ankef1",4
"2085","Ankfy1",2
"2086","Ankhd1",4
"2087","Ankib1",5
"2089","Ankle2",3
"2090","Ankmy2",3
"2091","Ankra2",2
"2092","Ankrd1",2
"2093","Ankrd10",5
"2094","Ankrd11",7
"2095","Ankrd12",5
"2098","Ankrd13c",2
"2099","Ankrd13d",2
"2101","Ankrd17",5
"2104","Ankrd24",3
"2105","Ankrd26",4
"2106","Ankrd27",2
"2107","Ankrd28",2
"2108","Ankrd29",2
"2111","Ankrd33b",3
"2116","Ankrd36",2
"2118","Ankrd39",3
"2119","Ankrd40",2
"2121","Ankrd44",2
"2126","Ankrd54",2
"2128","Ankrd6",3
"2135","Anks1b",6
"2136","Anks3",2
"2139","Ankzf1",2
"2140","Anln",2
"2141","Ano1",3
"2143","Ano3",2
"2148","Anp32a",3
"2149","Anp32e",2
"2151","Antxr1",2
"2154","Anxa10",2
"2159","Anxa4",2
"2161","Anxa6",3
"2162","Anxa7",3
"2163","Anxa8",2
"2165","Aoah",3
"2171","Ap1ar",2
"2173","Ap1g1",3
"2175","Ap1m1",2
"2178","Ap1s2",3
"2180","Ap2a2",5
"2181","Ap2b1",4
"2183","Ap3b1",2
"2184","Ap3b2",2
"2185","Ap3d1",2
"2186","Ap3m1",3
"2187","Ap3m2",3
"2188","Ap3s2",5
"2193","Ap5m1",3
"2194","Ap5s1",3
"2195","Ap5z1",4
"2196","Apaf1",2
"2197","Apba1",2
"2199","Apbb1",2
"2201","Apbb2",3
"2202","Apc",4
"2203","Apc2",4
"2208","Apex1",3
"2209","Apex2",2
"2210","Aph1a",2
"2212","Api5",3
"2214","Aplf",2
"2216","Aplnr",2
"2217","Aplp1",2
"2218","Aplp2",4
"2220","Apoa1",4
"2222","Apoa4",2
"2224","Apob",2
"2231","Apoc3",2
"2233","Apod",2
"2237","Apol11b",2
"2242","Apom",2
"2243","Apool",2
"2245","App",3
"2246","Appbp2",4
"2247","Appbp2os",2
"2248","Appl1",4
"2249","Appl2",2
"2250","Aprt",2
"2253","Aqp11",5
"2256","Aqp3",3
"2257","Aqp4",3
"2259","Aqp6",3
"2260","Aqp7",2
"2262","Aqp9",2
"2263","Aqr",5
"2264","Ar",3
"2265","Araf",5
"2267","Arap2",2
"2269","Arcn1",2
"2271","Arel1",2
"2272","Arf2",4
"2273","Arf3",4
"2274","Arf4",4
"2276","Arf6",2
"2277","Arfgap1",2
"2279","Arfgef1",2
"2280","Arfgef2",3
"2281","Arfgef3",2
"2283","Arfip2",2
"2284","Arfrp1",4
"2286","Arg2",2
"2287","Arglu1",2
"2288","Arhgap1",2
"2291","Arhgap12",4
"2292","Arhgap15",3
"2293","Arhgap17",3
"2294","Arhgap18",2
"2295","Arhgap19",2
"2296","Arhgap20",2
"2298","Arhgap21",2
"2300","Arhgap23",2
"2301","Arhgap24",2
"2302","Arhgap25",2
"2303","Arhgap26",3
"2304","Arhgap27",2
"2305","Arhgap28",3
"2306","Arhgap29",2
"2307","Arhgap30",2
"2308","Arhgap31",4
"2309","Arhgap32",3
"2313","Arhgap39",2
"2314","Arhgap4",3
"2315","Arhgap42",2
"2318","Arhgap5",4
"2319","Arhgap6",3
"2321","Arhgap9",4
"2325","Arhgef1",2
"2326","Arhgef10",3
"2329","Arhgef12",3
"2330","Arhgef15",3
"2332","Arhgef17",3
"2333","Arhgef18",4
"2335","Arhgef2",3
"2336","Arhgef25",2
"2338","Arhgef28",2
"2340","Arhgef33",3
"2343","Arhgef4",2
"2344","Arhgef40",3
"2346","Arhgef6",2
"2347","Arhgef7",3
"2348","Arhgef9",3
"2349","Arid1a",2
"2351","Arid2",4
"2354","Arid4a",2
"2355","Arid4b",6
"2357","Arid5b",5
"2358","Arih1",4
"2359","Arih2",5
"2364","Arl14ep",3
"2365","Arl15",2
"2367","Arl2",2
"2368","Arl2bp",2
"2370","Arl4a",3
"2371","Arl4c",2
"2373","Arl5a",2
"2374","Arl5b",3
"2376","Arl6ip1",3
"2379","Arl6ip6",2
"2380","Arl8b",3
"2381","Armc1",3
"2385","Armc3",2
"2388","Armc6",2
"2390","Armc8",5
"2391","Armc9",8
"2393","Armcx2",2
"2398","Armt1",3
"2399","Arnt",3
"2400","Arnt2",3
"2401","Arntl",2
"2402","Arntl2",2
"2404","Arpc1b",2
"2407","Arpc4",2
"2408","Arpc5l",3
"2410","Arpp19",3
"2411","Arpp21",4
"2412","Arr3",2
"2414","Arrdc1",3
"2417","Arrdc4",2
"2420","Arsb",2
"2421","Arsg",2
"2424","Arsk",2
"2425","Art1",3
"2427","Art2b",2
"2430","Art5",2
"2433","Arvcf",3
"2434","Arx",3
"2439","Asah2",2
"2440","Asap1",4
"2441","Asap2",2
"2442","Asb1",3
"2443","Asb10",2
"2446","Asb13",2
"2448","Asb15",2
"2452","Asb18",2
"2454","Asb3",2
"2455","Asb4",2
"2458","Asb7",4
"2459","Asb8",2
"2462","Ascc2",2
"2463","Ascc3",2
"2464","Ascl1",2
"2465","Ascl2",3
"2471","Ash1l",3
"2472","Ash2l",2
"2480","Asns",2
"2484","Asph",6
"2486","Asphd2",2
"2487","Aspm",5
"2488","Aspn",2
"2491","Asrgl1",4
"2492","Aste1",2
"2496","Asxl1",3
"2497","Asxl2",4
"2498","Asxl3",2
"2499","Asz1",2
"2501","Atad2",3
"2502","Atad2b",2
"2503","Atad3a",3
"2505","Atat1",3
"2506","Atcay",3
"2507","Atcayos",2
"2508","Ate1",4
"2509","Atf1",2
"2510","Atf2",5
"2514","Atf6",3
"2516","Atf7",2
"2517","Atf7ip",4
"2518","Atf7ip2",2
"2521","Atg12",2
"2522","Atg13",2
"2525","Atg16l2",2
"2527","Atg2b",3
"2528","Atg3",2
"2529","Atg4b",3
"2531","Atg4d",3
"2532","Atg5",3
"2533","Atg7",4
"2535","Atic",2
"2536","Atl1",2
"2537","Atl2",4
"2538","Atl3",4
"2539","Atm",2
"2540","Atmin",2
"2544","Atox1",2
"2545","Atp10a",3
"2548","Atp11a",2
"2550","Atp11c",3
"2553","Atp13a2",3
"2554","Atp13a3",3
"2555","Atp13a4",2
"2556","Atp13a5",2
"2557","Atp1a1",2
"2558","Atp1a2",5
"2559","Atp1a3",2
"2561","Atp1b1",4
"2562","Atp1b2",2
"2567","Atp2a2",3
"2568","Atp2a3",2
"2569","Atp2b1",2
"2570","Atp2b2",3
"2572","Atp2c1",5
"2576","Atp5a1",2
"2578","Atp5d",2
"2585","Atp5j2",2
"2586","Atp5k",3
"2591","Atp6ap2",3
"2592","Atp6v0a1",3
"2593","Atp6v0a2",3
"2595","Atp6v0b",2
"2596","Atp6v0d1",2
"2597","Atp6v0d2",2
"2600","Atp6v1a",3
"2602","Atp6v1b2",2
"2603","Atp6v1c1",3
"2605","Atp6v1d",3
"2610","Atp6v1h",2
"2612","Atp7b",3
"2613","Atp8a1",6
"2614","Atp8a2",5
"2616","Atp8b2",3
"2617","Atp8b3",2
"2618","Atp8b4",2
"2619","Atp9a",3
"2620","Atp9b",3
"2623","Atpif1",3
"2624","Atr",3
"2627","Atrn",2
"2629","Atrx",10
"2630","Atxn1",3
"2631","Atxn10",3
"2632","Atxn1l",2
"2633","Atxn2",5
"2634","Atxn2l",3
"2635","Atxn3",2
"2636","Atxn7",3
"2637","Atxn7l1",5
"2641","Atxn7l3b",4
"2642","AU015228",2
"2649","AU022252",3
"2652","AU040320",2
"2654","AU041133",2
"2655","Auh",7
"2658","Aurka",2
"2660","Aurkb",2
"2661","Auts2",4
"2667","Avl9",3
"2670","Avpr1a",2
"2680","AW551984",3
"2682","Axin1",2
"2683","Axin2",2
"2691","Azi2",2
"2693","Azin2",2
"2698","B230118H07Rik",3
"2699","B230208B08Rik",2
"2701","B230216N24Rik",2
"2702","B230217C12Rik",2
"2704","B230219D22Rik",2
"2707","B230307C23Rik",3
"2710","B230354K17Rik",2
"2712","B2m",2
"2715","B3galnt2",4
"2716","B3galt1",4
"2717","B3galt2",3
"2718","B3galt5",3
"2719","B3galt6",3
"2720","B3gat1",4
"2726","B3gnt5",2
"2734","B4galnt1",2
"2739","B4galt2",2
"2742","B4galt5",2
"2743","B4galt6",4
"2744","B4galt7",2
"2752","B9d1",2
"2755","Baalc",3
"2756","Baat",2
"2758","Babam2",3
"2759","Bace1",4
"2760","Bace2",3
"2761","Bach1",2
"2762","Bach2",2
"2763","Bad",2
"2767","Bag4",3
"2772","Baiap2",4
"2773","Baiap2l1",2
"2775","Bak1",2
"2778","Banf1",3
"2782","Bap1",2
"2784","Barhl1",2
"2793","Baz1b",3
"2794","Baz2a",3
"2795","Baz2b",4
"2799","Bbip1",2
"2801","Bbox1",2
"2803","Bbs10",2
"2806","Bbs4",3
"2808","Bbs7",2
"2810","Bbx",5
"2814","BC003965",3
"2815","BC004004",5
"2816","BC005537",2
"2818","BC006965",3
"2822","BC018473",2
"2827","BC028528",2
"2830","BC030499",2
"2833","BC030870",2
"2849","BC055324",2
"2850","BC064078",2
"2855","Bcap29",3
"2856","Bcap31",2
"2857","Bcar1",2
"2858","Bcar3",2
"2859","Bcas1",3
"2861","Bcas2",2
"2862","Bcas3",2
"2863","Bcat1",3
"2867","Bche",3
